id,user_id,average_rating,learning_path_id
1,1,88.0,17
2,1,82.25,2
3,1,80.0,15
4,1,66.0,12
5,1,82.0,19
6,1,75.5,14
7,1,94.0,7
8,1,64.0,4
9,2,80.6,2
10,2,71.0,17
11,2,80.0,6
12,2,73.0,9
13,2,80.0,5
14,2,81.0,7
15,3,85.4,2
16,3,86.5,17
17,3,91.5,14
18,3,83.0,5
19,3,85.0,11
20,3,74.0,7
21,3,84.0,12
22,3,82.0,8
23,4,84.0,2
24,4,93.0,17
25,4,77.5,8
26,4,83.0,20
27,4,71.0,16
28,4,88.0,13
29,5,78.75,2
30,5,87.0,17
31,5,77.67,9
32,5,86.0,6
33,5,96.0,18
34,5,68.0,14
35,5,84.0,15
36,6,78.8,2
37,6,84.0,17
38,6,71.0,19
39,6,75.0,7
40,6,84.0,18
41,6,82.0,20
42,6,81.0,9
43,6,84.0,14
44,7,78.25,2
45,7,79.0,17
46,7,83.0,18
47,7,80.0,9
48,7,84.0,12
49,7,85.0,11
50,7,74.0,15
51,7,70.0,5
52,8,80.25,2
53,8,92.0,17
54,8,68.0,8
55,8,88.0,3
56,8,90.0,12
57,8,92.0,14
58,8,85.0,18
59,8,81.0,20
60,8,76.0,13
61,8,91.0,9
62,8,86.0,4
63,8,77.0,11
64,9,80.25,2
65,9,84.0,17
66,9,90.0,3
67,9,87.0,8
68,9,78.0,10
69,9,82.0,16
70,9,78.0,15
71,9,90.0,7
72,9,87.0,19
73,9,95.0,18
74,9,81.0,11
75,10,84.75,2
76,10,72.0,17
77,10,90.0,8
78,10,84.0,9
79,10,82.0,3
80,10,77.0,6
81,11,77.0,17
82,11,84.0,2
83,11,75.0,14
84,11,84.0,6
85,11,78.0,16
86,11,80.0,8
87,11,85.0,20
88,11,88.0,13
89,11,87.0,4
90,11,86.0,19
91,12,83.5,17
92,12,79.2,2
93,12,78.0,18
94,12,84.0,12
95,12,86.0,19
96,12,70.0,15
97,12,79.0,20
98,12,73.0,4
99,12,83.0,16
100,13,80.2,2
101,13,88.0,17
102,13,80.0,18
103,13,91.0,16
104,13,79.0,9
105,13,84.0,8
106,13,75.0,10
107,13,84.0,4
108,14,76.8,2
109,14,84.5,17
110,14,86.0,13
111,14,82.0,20
112,14,87.0,11
113,14,86.0,6
114,14,90.0,19
115,14,72.0,4
116,15,82.67,2
117,15,84.0,17
118,15,67.0,3
119,15,78.33,16
120,15,83.0,18
121,15,90.0,10
122,16,80.4,2
123,16,65.0,17
124,16,75.0,20
125,16,94.0,3
126,16,63.0,12
127,16,75.0,11
128,17,77.75,2
129,17,69.0,17
130,17,81.0,4
131,17,80.0,1
132,17,73.0,13
133,17,84.0,10
134,18,78.6,2
135,18,86.0,17
136,18,89.0,13
137,18,94.0,16
138,18,74.0,4
139,18,94.0,11
140,18,89.0,6
141,18,81.0,12
142,19,76.5,2
143,19,78.0,17
144,19,93.0,16
145,19,89.0,14
146,19,75.0,12
147,19,81.5,9
148,19,93.0,11
149,19,85.0,20
150,19,68.0,19
151,20,85.25,2
152,20,78.5,17
153,20,80.0,1
154,20,89.0,8
155,20,79.5,4
156,21,79.5,2
157,21,79.5,17
158,21,91.0,9
159,21,82.0,19
160,21,75.0,18
161,21,71.0,8
162,21,83.0,11
163,22,82.0,2
164,22,83.0,17
165,22,78.0,11
166,22,74.0,9
167,22,91.0,20
168,22,73.0,8
169,22,73.0,4
170,22,78.0,14
171,22,72.0,12
172,22,86.0,19
173,23,75.0,17
174,23,85.25,2
175,23,89.0,5
176,23,73.67,16
177,23,86.0,12
178,23,81.0,9
179,23,74.0,10
180,23,83.0,3
181,24,78.5,2
182,24,79.0,17
183,24,77.5,10
184,24,78.0,8
185,24,83.0,19
186,24,91.0,7
187,24,75.0,3
188,24,77.0,1
189,24,73.0,20
190,25,74.0,17
191,25,80.33,2
192,25,90.0,9
193,25,92.0,6
194,25,86.0,20
195,25,82.33,18
196,25,72.0,16
197,25,83.0,11
198,25,80.0,5
199,26,79.5,2
200,26,88.0,17
201,26,80.0,1
202,26,92.0,10
203,26,79.0,15
204,26,73.0,5
205,26,96.0,16
206,26,95.0,19
207,27,83.75,2
208,27,80.0,17
209,27,93.0,9
210,27,71.5,16
211,27,82.0,14
212,27,77.0,8
213,27,85.0,18
214,27,92.0,20
215,27,90.0,4
216,28,83.0,17
217,28,76.25,2
218,28,86.0,14
219,28,75.0,20
220,28,91.0,6
221,28,82.0,15
222,28,77.0,8
223,28,92.0,1
224,28,81.0,7
225,29,77.33,2
226,29,92.0,17
227,29,86.0,8
228,29,84.0,18
229,29,81.0,5
230,29,74.0,13
231,29,72.0,14
232,30,74.5,2
233,30,88.0,17
234,30,73.0,18
235,30,83.0,14
236,30,75.0,16
237,30,67.0,6
